aalib 1.4rc5-13
accerciser 3.22.0-3
accountsservice 0.6.54+2+g204a4ab-1
acl 2.2.53-1
acpi 1.7-2
acpid 2.0.31-1
adwaita-icon-theme 3.30.1-1
alsa-lib 1.1.7-2
alsa-plugins 1.1.7-3
alsa-utils 1.1.7-1
amtk 5.0.0-1
aom 1.0.0-1
apache 2.4.37-1
apr 1.6.5-1
apr-util 1.6.1-3
archlinux-keyring 20181218-1
argon2 20171227-3
aspell 0.60.7rc1-1
at-spi2-atk 2.30.0-1
at-spi2-core 2.30.0-2
atk 2.30.0-1
atkmm 2.28.0-1
atomix 3.30.0.1-1
attr 2.4.48-1
audit 2.8.4-2
autoconf 2.69-5
automake 1.16.1-1
avahi 0.7+16+g1cc2b8e-2
baobab 3.30.0-1
bash 4.4.023-1
bash-completion 2.8-1
bc 1.07.1-2
bind-tools 9.13.5-1
binutils 2.31.1-4
bison 3.2-1
bluez 5.50-3
bluez-libs 5.50-3
bluez-utils 5.50-3
boost-libs 1.68.0-2
brasero 3.12.2-2
bridge-utils 1.6-3
brltty 5.6-7
brotli 1.0.7-1
btrfs-progs 4.19.1-1
bubblewrap 0.3.1-1
bzip2 1.0.6-8
ca-certificates 20181109-1
ca-certificates-mozilla 3.41-1
ca-certificates-utils 20181109-1
cairo 1.16.0-1
cairomm 1.12.2-3
cantarell-fonts 1:0.111-1
cdparanoia 10.2-7
cdrdao 1.2.4-1
cdrtools 3.02a09-1
celt 0.11.3-3
celt0.5.1 0.5.1.3-4
cheese 3.30.0-1
chromaprint 1.4.3-2
cifs-utils 6.8-2
clang 7.0.1-1
clucene 2.3.3.4-10
clutter 1.26.2-2
clutter-gst 3.0.26-1
clutter-gtk 1.8.4-1
cogl 1.22.2+22+ge023a361-1
colord 1.4.3-2
colord-gtk 0.1.26+5+ga9d9c91-2
compiler-rt 7.0.1-1
confuse 3.2.2-1
connman 1.36-1
containerd 1.2.0-2
coreutils 8.30-1
cracklib 2.9.6-3
cryptsetup 2.0.6-1
cups 2.2.10-1
cups-filters 1.21.6-1
curl 7.63.0-2
db 5.3.28-4
dbus 1.12.12-1
dbus-glib 0.110-1
dconf 0.30.1-1
dconf-editor 3.30.2-1
desktop-file-utils 0.23+4+g92af410-1
devhelp 3.30.1-1
device-mapper 2.02.183-1
dhcpcd 7.0.8-1
dialog 1:1.3_20181107-1
diffutils 3.6-2
djvulibre 3.5.27-4
dmenu 4.8-1
dmidecode 3.2-1
dmraid 1.0.0.rc16.3-11
dnssec-anchors 20181003-1
docbook-xml 4.5-8
docbook-xsl 1.79.2-4
docker 1:18.09.0-2
docker-compose 1.23.2-1
dosfstools 4.1-2
dotconf 1.3-5
dvd+rw-tools 7.1-8
e2fsprogs 1.44.5-1
elixir 1.7.4-1
enchant 2.2.3-2
eog 3.28.4-1
epiphany 3.30.2-2
erlang 21.2-1
espeak 1:1.48.04-2
evince 3.30.2-1
exempi 2.4.5-1
exfat-utils 1.3.0-1
exiv2 0.26-2
expat 2.2.6-1
faac 1.29.9.2-1
faad2 2.8.8-1
fakeroot 1.23-1
ffmpeg 1:4.1-1
fftw 3.3.8-1
file 5.35-1
file-roller 3.30.1-1
filesystem 2018.12-2
findutils 4.6.0-4
firefox 64.0-1
five-or-more 3.30.0-1
flac 1.3.2-2
flex 2.6.4-2
fontconfig 2:2.13.1+12+g5f5ec56-1
foomatic-db-engine 4:4.0.13-1
four-in-a-row 3.28.0+3+g52208eb-1
freerdp 1:2.0.0_rc4-1
freetype2 2.9.1-1
frei0r-plugins 1.6.1-7
fribidi 1.0.5-1
fuse-common 3.3.0-1
fuse2 2.9.8-1
gamin 0.1.10-9
gavl 1.4.0-3
gawk 4.2.1-1
gc 7.6.8-1
gcc 8.2.1+20181127-1
gcc-libs 8.2.1+20181127-1
gconf 3.2.6+11+g07808097-4
gcr 3.28.0-4
gd 2.2.5-1
gdb 8.2-2
gdb-common 8.2-2
gdbm 1.18.1-1
gdk-pixbuf2 2.38.0-1
gdm 3.30.2-1
geany 1.34-1
geoclue2 2.5.1-1
geocode-glib 3.26.0-1
geoip 1.6.12-1
geoip-database 20180403-1
gettext 0.19.8.1-3
ghc 8.6.3-1
ghc-libs 8.6.3-1
ghostscript 9.26-1
giflib 5.1.4-2
git 2.20.1-1
gjs 2:1.54.3-1
glib-networking 2.58.0-1
glib2 2.58.2-1
